standard_id,title,category,sub_category,product_types,materials,age_groups,power_types,keywords,description,requirements,certification_notes,source
IS 9873 (Part 1):2019,Safety of toys - Mechanical and physical properties,toys,mechanical_physical,plastic toys; dolls; ride-on toys; general toys,plastic; wood; metal; textile,0-3; 3-8; 8-14,none,small parts; sharp edges; choking hazard; structural integrity; toy safety,"Covers physical and mechanical safety requirements for toys, including hazardous small parts, edge/point sharpness, and structural strength.",No hazardous small detachable parts for under-3s; Edge/point sharpness limits; Structural strength tests,"ISI Mark mandatory under Toys (Quality Control) Order, 2020; IS 9873 (Part 1):2025 will replace this version from 22 Mar 2027",https://bis.gov.in/wp-content/uploads/2020/07/Safety_of_toys.pdf
IS 9873 (Part 2):2017,Safety of toys - Flammability,toys,flammability,soft toys; fabric toys; costumes; general toys,textile; plush; plastic,0-3; 3-8; 8-14,none,flammability; fire hazard; burn risk,Specifies flammability requirements to ensure toy materials do not burn rapidly when exposed to a small flame source.,Material must not burn rapidly when exposed to small flame source,Mandatory alongside Part 1 for all non-electric toys under Toys QCO 2020,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1843543&reg=3&lang=2
IS 9873 (Part 3):2020,Safety of toys - Migration of certain elements,toys,chemical_safety,painted toys; plastic toys; toys with coatings,plastic; paint/coating; PVC,0-3; 3-8; 8-14,none,toxic chemicals; heavy metals; migration limits; lead; chemical safety,"Sets limits on migration of lead, cadmium, and other heavy elements from toy materials.","Limits on migration of lead, cadmium, and other heavy elements",Mandatory chemical-safety testing under Toys QCO 2020,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=1843543&reg=3&lang=2
IS 9873 (Part 4):2017,"Safety of toys - Swings, slides and similar activity toys",toys,outdoor_activity,swings; slides; climbing frames; activity toys,metal; plastic; wood,3-8; 8-14,none,outdoor toy; activity equipment; structural safety; stability,Covers structural safety for outdoor and indoor family/domestic activity toys such as swings and slides.,Structural stability; Load-bearing tests; Fall-height limits,Applies specifically to outdoor/indoor family activity toys under Toys QCO 2020,https://corpbiz.io/learning/bis-certification-for-non-electric-toys-india/
IS 9873 (Part 7):2017,Safety of toys - Requirements and test methods for finger paints,toys,chemical_safety,finger paints; art toys for children,pigment; paint,0-3; 3-8,none,finger paint; toxic pigment; art supplies for kids,Specifies restricted pigments and preservatives and labeling requirements for children's finger paints.,Restricted pigments and preservatives; Labeling requirements,Mandatory if selling children's finger-paint products under Toys QCO 2020,https://corpbiz.io/learning/bis-certification-for-non-electric-toys-india/
IS 9873 (Part 9):2017,Safety of toys - Certain phthalate esters in toys,toys,chemical_safety,soft plastic toys; PVC toys; teethers,PVC; soft plastic,0-3,none,phthalates; plasticizer; PVC safety; teether safety,"Sets limits on phthalate ester content in PVC and soft plastic toy parts, especially relevant for teethers.",Limits on phthalate ester content in PVC/soft plastic toy parts,Especially relevant for teethers and mouthable soft-plastic toys under Toys QCO 2020,https://www.bl-india.com/blogs/isi-bis-certification/bis-certification-for-toys
IS 15644:2006,Safety of electric toys,toys,electrical_safety,electronic toys; battery-operated toys; remote-control toys,plastic; electronic components,3-8; 8-14,battery; mains,electric toy; battery powered; electrical safety; remote control,"Covers electrical insulation, battery safety, and overheating protection for toys with an electrical/battery function.",Electrical insulation; Battery safety; Overheating protection,"Required for ANY toy with an electrical/battery function, in addition to applicable non-electric IS 9873 parts",https://www.bl-india.com/blogs/isi-bis-certification/bis-certification-for-toys
IS 13252 (Part 1):2010,Information technology equipment - Safety,electronics,it_equipment_safety,laptops; tablets; printers; scanners; mobile phones; power banks; wireless keyboards; set-top box; POS machines; smart card readers; power adapters for IT,electronic components; plastic; metal,not_applicable,mains; battery; USB,IT equipment; laptop; mobile phone; power bank; electrical safety; printer; scanner,"General safety requirements for information technology equipment, covering electrical insulation, temperature rise, mechanical strength, and fire enclosure.",Electrical insulation; Temperature rise limits; Mechanical strength; Fire enclosure requirements,"Mandatory under Electronics & IT Goods (CRS) Order, 2012; Being phased into IS/IEC 62368-1:2023 by Nov 2028",https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 616:2017,"Audio, video and similar electronic apparatus - Safety requirements",electronics,av_equipment_safety,televisions; electronic games; optical disk players; electronic music systems; amplifiers; wireless headphones/earphones; power adapters for AV,electronic components; plastic,not_applicable,mains; battery,TV; audio equipment; amplifier; headphones; AV safety; electrical safety,"Safety requirements for audio, video, and similar electronic apparatus covering shock protection, thermal safety, and mechanical hazards.",Electric shock protection; Thermal safety; Mechanical hazard limits,Mandatory under CRS; Being phased into IS/IEC 62368-1:2023 by Nov 2028,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 302-1:2008,Household and similar electrical appliances - Safety - General requirements,electronics,household_appliance_safety,microwave ovens; general household appliances,metal; plastic; electronic components,not_applicable,mains,household appliance; microwave; electrical safety; appliance safety,General safety requirements for electrical and mechanical hazards in household appliances.,General safety requirements for electrical/mechanical hazards,Mandatory under CRS for household appliance category,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 16046 (Part 2):2018,Safety of secondary lithium cells and batteries for portable applications,electronics,battery_safety,power banks; lithium-battery-powered devices; portable electronics,lithium-ion cells,not_applicable,battery,lithium battery; power bank; battery safety; secondary cell,"Safety requirements for secondary lithium cells and batteries, covering overcharge/discharge and thermal runaway protection.",Overcharge/discharge protection; Thermal runaway prevention; Short-circuit safety,Mandatory alongside IS 13252 for any product with a lithium battery; Capacity verification requirement added Feb 2026,https://www.standphillindia.in/bis-certification-battery-operated-devices-is-16046.php
IS 16242 (Part 1),Uninterruptible power systems (UPS) - Safety requirements,electronics,power_backup_safety,UPS; inverters (up to ~10kVA),electronic components; battery,not_applicable,mains; battery,UPS; inverter; power backup; electrical safety,Safety requirements for uninterruptible power systems and inverters up to a rated capacity.,Electrical safety; Battery backup safety; Thermal limits,Mandatory under CRS for UPS/inverter category,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 16102 (Part 1):2012,Self-ballasted LED lamps for general lighting services - Safety requirements,electronics,led_lighting_safety,LED bulbs; self-ballasted LED lamps,LED components; plastic; metal,not_applicable,mains,LED lamp; lighting safety; self-ballasted; bulb,Electrical and photobiological safety requirements for self-ballasted LED lamps.,Electrical safety; Photobiological safety,Mandatory under CRS for LED lighting products,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 15885 (Part 2/Sec 13):2013,DC or AC supplied electronic control gear for LED modules,electronics,led_lighting_safety,LED control gear/drivers,electronic components,not_applicable,mains,LED driver; control gear; LED module; lighting electronics,Safety requirements for electronic control gear powering LED modules.,Safety requirements for electronic control gear powering LED modules,Mandatory alongside luminaire standards for LED products,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS 10322 (Part 5/Sec 1):2012,Luminaires - Fixed general purpose LED luminaires,electronics,led_lighting_safety,LED luminaires; fixed lighting fixtures,metal; plastic; LED components,not_applicable,mains,luminaire; LED fixture; lighting fixture; fixed lighting,Mechanical and electrical safety requirements for fixed general purpose LED luminaires.,Mechanical and electrical safety for fixed LED luminaires,Mandatory under CRS for luminaire category,https://ewh.ieee.org/r6/ocs/pses/India%20BIS%20&%20WPC_SPCE-2019_Final.pdf
IS/IEC 62368-1:2023,"Audio/video, information and communication technology equipment - Safety requirements",electronics,it_av_unified_safety,laptops; mobile phones; TVs; audio equipment; IT/AV convergence devices,electronic components; plastic; metal,not_applicable,mains; battery; USB,unified safety standard; hazard-based safety; IT AV convergence,New unified hazard-based engineering safety standard replacing separate IT and AV safety standards.,Hazard-based engineering approach; Energy/fire/burn/mechanical hazard classes,Running in parallel with IS 13252/IS 616 until mandatory transition on 1 Nov 2028,https://www.standphillindia.in/bis-certification-for-power-banks-is-13252.php
IS 1293:2019,"Plugs and socket-outlets for household and similar purposes, up to 250V/16A",electronics,wiring_accessory_safety,plugs; sockets; extension boards,plastic; brass; copper,not_applicable,mains,plug; socket; electrical outlet; wiring accessory,Safety requirements for household plugs and socket-outlets including pin dimensions and thermal endurance.,Pin dimensions; Shutter mechanisms; Thermal endurance; Dielectric strength,Mandatory under Plugs & Socket-Outlets QCO; 2019 version supersedes 2005 version,https://360compliance.co/general/bureau-of-indian-standards-bis-certification-has-revised-is-12932019/
IS 694,PVC insulated cables for working voltages up to 1100V,electronics,wiring_accessory_safety,household electrical wires; PVC cables,PVC; copper,not_applicable,mains,PVC cable; electrical wire; insulated cable; wiring,Safety and performance requirements for PVC insulated electrical cables.,Insulation resistance; Voltage withstand; Conductor sizing,Mandatory ISI-marked standard for domestic wiring cables,https://instacertify.com/resources/standards/mandatory-bis-standard/isi-mark-electrical-accessories/
IS 3854,Switches for household and similar fixed electrical installations,electronics,wiring_accessory_safety,electrical switches; switch boards,plastic; metal contacts,not_applicable,mains,switch; switchboard; electrical switch; wiring device,Mechanical and electrical safety requirements for household electrical switches.,"10,000+ ON/OFF cycle endurance; Temperature rise limits; Dielectric strength; Glow-wire fire test",Mandatory ISI-marked standard for household switches,https://www.fybros.com/blog/understanding-bis-is-standards-for-electrical-switch-boards-in-india
IS 8828:1996,Miniature circuit breakers (MCBs) for AC circuits,electronics,wiring_accessory_safety,MCBs; circuit breaker panels,metal; plastic,not_applicable,mains,MCB; circuit breaker; electrical protection; tripping,Safety and performance requirements for miniature circuit breakers used in AC circuits.,Tripping characteristics; Short-circuit capacity; Endurance requirements,Mandatory for MCB-integrated switchboard/panel products,https://www.fybros.com/blog/understanding-bis-is-standards-for-electrical-switch-boards-in-india
IS 7098,Cross-linked polyethylene insulated PVC sheathed cables (power cables),electronics,wiring_accessory_safety,power cables; industrial/domestic power wiring,XLPE; PVC; copper,not_applicable,mains,power cable; XLPE cable; electrical cable,Insulation and sheathing performance requirements for power transmission cables.,Insulation and sheathing performance for power transmission cables,Mandatory ISI-marked standard for power cables,https://instacertify.com/resources/standards/mandatory-bis-standard/isi-mark-electrical-accessories/
IS 15742:2007,Textiles - Requirements for clothing made of limited flame spread materials and material assemblies affording protection against heat and flame,textiles,protective_flame_safety,protective clothing; flame-resistant workwear; heat-protective garments,fire-resistant fabric; treated textile,not_applicable,none,protective textile; flame resistant; heat protection; workwear safety,Requirements for limited flame spread performance and heat/flame protection thresholds for fabric assemblies.,Limited flame spread performance; Heat/flame protection thresholds for fabric assemblies,"Mandatory under Protective Textiles (QCO) 2023, amended 2024 (effective 7 Oct 2023)",https://alephindia.in/clothing-&-assemblies-material-resistant-to-heat-and-flame.php
